id,title,company,location,work_type,skills,description
1,Backend Engineer,Northstar Labs,Bengaluru,Hybrid,"Node.js, PostgreSQL, AWS","Build reliable APIs for a growing finance platform. Work with a small team on cloud services and database design."
2,Software Engineer - Platform,CloudHarbor,Remote,Remote,"Python, AWS, Docker","Help maintain cloud infrastructure and backend services. The team values automation, observability, and clear code."
3,API Developer,MaplePay,Hyderabad,On-site,"Python, FastAPI, PostgreSQL","Create and support REST APIs for payment products. Collaborate with product and data teams to improve service reliability."
4,Junior Backend Developer,Juniper Health,Remote,Remote,"JavaScript, Node.js, MongoDB","An early-career role building server-side features for a digital health application with guidance from senior engineers."
5,Cloud Software Engineer,Orbit Systems,Pune,Hybrid,"AWS, Python, Terraform","Develop cloud applications and infrastructure tooling. Experience with AWS services and infrastructure as code is useful."
6,Data Analyst,Goodwell Market,Mumbai,Hybrid,"SQL, Excel, Tableau","Explore customer and sales data, create dashboards, and explain findings to business teams. Strong SQL skills are important."
7,Product Data Analyst,Beacon Learning,Remote,Remote,"SQL, Python, experimentation","Use product data to understand learner behavior. Build reports and partner with product managers on experiments."
8,Junior Business Intelligence Analyst,Westline Retail,Chennai,On-site,"SQL, Power BI, Excel","Support reporting for retail operations by cleaning data, preparing dashboards, and answering business questions."
9,Analytics Engineer,Fieldnote,Remote,Remote,"dbt, SQL, Snowflake","Organize warehouse data into useful models so analysts and product teams can trust their reporting."
10,UX Designer,Kindred Studio,Bengaluru,Hybrid,"Figma, prototyping, user research","Design intuitive experiences for a mobile product. Talk with users, create prototypes, and work closely with engineers."
11,Product Designer,Little Finch,Remote,Remote,"Figma, interaction design, research","Shape product flows from early ideas through polished designs. This small team values thoughtful research and simple interfaces."
12,Visual Designer,Paperplane Media,Delhi,Hybrid,"Figma, Illustrator, visual design","Create visual assets and web experiences for a range of creative clients. Bring strong typography and layout skills."
13,Frontend Developer,Pixel Grove,Bengaluru,Hybrid,"React, JavaScript, CSS","Build accessible web interfaces and work with designers to turn prototypes into polished product features."
14,React Engineer,OpenTrail,Remote,Remote,"React, TypeScript, testing","Develop frontend features for a collaboration tool. Contribute to component design and improve the user experience."
15,Mobile App Developer,Marble Apps,Hyderabad,Hybrid,"React Native, JavaScript, mobile","Build cross-platform mobile features and work with backend engineers to connect apps to APIs."
16,QA Automation Engineer,Clearpath Tech,Pune,Hybrid,"Playwright, JavaScript, CI/CD","Create automated tests for web products and help teams catch problems before releases."
17,Machine Learning Engineer,Signal Orchard,Bengaluru,On-site,"Python, NLP, machine learning","Build and deploy language processing features. Work with product engineers to bring models into customer-facing tools."
18,Technical Support Engineer,RelayDesk,Remote,Remote,"troubleshooting, APIs, communication","Help customers solve technical issues, investigate API behavior, and share clear explanations with engineering teams."
19,DevOps Engineer,Ironwood Software,Chennai,Hybrid,"AWS, Kubernetes, CI/CD","Improve deployment pipelines and cloud reliability for several product teams. Experience with containers is helpful."
20,Product Manager,Daylight Works,Mumbai,Hybrid,"roadmaps, user research, communication","Guide a product area from customer problems to shipped improvements. Collaborate with design, engineering, and analytics."
21,Content Designer,Common Thread,Remote,Remote,"writing, UX, content strategy","Write clear interface copy and help product teams make complex tasks easier for customers to understand."
22,Security Analyst,Safe Harbor,Delhi,On-site,"security, incident response, Linux","Monitor systems for security issues, investigate alerts, and help improve practical security processes."
23,Database Administrator,Evergreen Travel,Kochi,Hybrid,"PostgreSQL, backups, performance","Maintain production databases, improve query performance, and plan reliable backup and recovery processes."
24,Customer Success Associate,Loopline,Remote,Remote,"customer support, onboarding, communication","Help new customers get started with a software platform, answer questions, and share feedback with the product team."
